# Written on  7Apr2024 at 17:13:11 
# Input file comment: Au
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
         1   0.000000000       0.000000000       0.000000000       91.65902495    
         1   0.000000000       0.000000000       0.000000000       95.98339405    
         1   0.000000000       0.000000000       0.000000000       97.42916437    
         1   0.000000000       0.000000000       0.000000000       98.36027604    
         1   0.000000000       0.000000000       0.000000000       98.50003830    
         1   0.000000000       0.000000000       0.000000000       121.4763460    
         1   0.000000000       0.000000000       0.000000000       121.5417558    
         1   0.000000000       0.000000000       0.000000000       125.3010880    
         1   0.000000000       0.000000000       0.000000000       125.5178340    
         1   0.000000000       0.000000000       0.000000000       125.6970456    
         2 -0.2510489498      0.2510489498      0.2510489498       95.24227245    
         2 -0.2510489498      0.2510489498      0.2510489498       101.7690489    
         2 -0.2510489498      0.2510489498      0.2510489498       102.3304913    
         2 -0.2510489498      0.2510489498      0.2510489498       103.9658116    
         2 -0.2510489498      0.2510489498      0.2510489498       111.8910668    
         2 -0.2510489498      0.2510489498      0.2510489498       112.0562354    
         2 -0.2510489498      0.2510489498      0.2510489498       113.9523111    
         2 -0.2510489498      0.2510489498      0.2510489498       115.6361558    
         2 -0.2510489498      0.2510489498      0.2510489498       118.2752923    
         2 -0.2510489498      0.2510489498      0.2510489498       118.4102396    
         3 -0.5020978845      0.5020978845      0.5020978845       101.1132837    
         3 -0.5020978845      0.5020978845      0.5020978845       102.4159176    
         3 -0.5020978845      0.5020978845      0.5020978845       103.0466780    
         3 -0.5020978845      0.5020978845      0.5020978845       103.5612880    
         3 -0.5020978845      0.5020978845      0.5020978845       105.4879578    
         3 -0.5020978845      0.5020978845      0.5020978845       105.6379054    
         3 -0.5020978845      0.5020978845      0.5020978845       106.7145673    
         3 -0.5020978845      0.5020978845      0.5020978845       113.0953299    
         3 -0.5020978845      0.5020978845      0.5020978845       117.2337367    
         3 -0.5020978845      0.5020978845      0.5020978845       117.4048196    
         4 -0.7531468343      0.7531468343      0.7531468343       99.00398344    
         4 -0.7531468343      0.7531468343      0.7531468343       99.44027629    
         4 -0.7531468343      0.7531468343      0.7531468343       108.9946715    
         4 -0.7531468343      0.7531468343      0.7531468343       109.3603276    
         4 -0.7531468343      0.7531468343      0.7531468343       110.3268800    
         4 -0.7531468343      0.7531468343      0.7531468343       110.7461698    
         4 -0.7531468343      0.7531468343      0.7531468343       111.1404399    
         4 -0.7531468343      0.7531468343      0.7531468343       111.2458625    
         4 -0.7531468343      0.7531468343      0.7531468343       113.4383060    
         4 -0.7531468343      0.7531468343      0.7531468343       115.1384164    
         5  0.5020978845     -0.5020978845     -0.5020978845       101.1102256    
         5  0.5020978845     -0.5020978845     -0.5020978845       101.7854741    
         5  0.5020978845     -0.5020978845     -0.5020978845       102.4083512    
         5  0.5020978845     -0.5020978845     -0.5020978845       104.8328769    
         5  0.5020978845     -0.5020978845     -0.5020978845       105.2758258    
         5  0.5020978845     -0.5020978845     -0.5020978845       105.6814906    
         5  0.5020978845     -0.5020978845     -0.5020978845       107.0235934    
         5  0.5020978845     -0.5020978845     -0.5020978845       113.1260167    
         5  0.5020978845     -0.5020978845     -0.5020978845       116.9441329    
         5  0.5020978845     -0.5020978845     -0.5020978845       117.4053623    
         6  0.2510489498     -0.2510489498     -0.2510489498       95.40603202    
         6  0.2510489498     -0.2510489498     -0.2510489498       101.9439300    
         6  0.2510489498     -0.2510489498     -0.2510489498       102.2599368    
         6  0.2510489498     -0.2510489498     -0.2510489498       104.1557339    
         6  0.2510489498     -0.2510489498     -0.2510489498       111.9255632    
         6  0.2510489498     -0.2510489498     -0.2510489498       112.0430307    
         6  0.2510489498     -0.2510489498     -0.2510489498       114.3410544    
         6  0.2510489498     -0.2510489498     -0.2510489498       115.5476384    
         6  0.2510489498     -0.2510489498     -0.2510489498       118.1383937    
         6  0.2510489498     -0.2510489498     -0.2510489498       118.3526524    
         7  0.2510489498     -0.2510489498      0.2510489498       95.42697406    
         7  0.2510489498     -0.2510489498      0.2510489498       101.9601008    
         7  0.2510489498     -0.2510489498      0.2510489498       102.2602653    
         7  0.2510489498     -0.2510489498      0.2510489498       104.1895276    
         7  0.2510489498     -0.2510489498      0.2510489498       111.9430732    
         7  0.2510489498     -0.2510489498      0.2510489498       112.0374776    
         7  0.2510489498     -0.2510489498      0.2510489498       114.3385839    
         7  0.2510489498     -0.2510489498      0.2510489498       115.5364718    
         7  0.2510489498     -0.2510489498      0.2510489498       118.2075183    
         7  0.2510489498     -0.2510489498      0.2510489498       118.2991414    
         8   0.000000000       0.000000000      0.5020978996       95.59760568    
         8   0.000000000       0.000000000      0.5020978996       99.52863147    
         8   0.000000000       0.000000000      0.5020978996       102.3456147    
         8   0.000000000       0.000000000      0.5020978996       103.9510830    
         8   0.000000000       0.000000000      0.5020978996       109.3086054    
         8   0.000000000       0.000000000      0.5020978996       110.4502759    
         8   0.000000000       0.000000000      0.5020978996       114.6497405    
         8   0.000000000       0.000000000      0.5020978996       116.0219464    
         8   0.000000000       0.000000000      0.5020978996       117.5707728    
         8   0.000000000       0.000000000      0.5020978996       119.1398615    
         9 -0.2510489347      0.2510489347      0.7531468343       101.2176934    
         9 -0.2510489347      0.2510489347      0.7531468343       102.7624021    
         9 -0.2510489347      0.2510489347      0.7531468343       103.3324172    
         9 -0.2510489347      0.2510489347      0.7531468343       106.7571230    
         9 -0.2510489347      0.2510489347      0.7531468343       110.2990640    
         9 -0.2510489347      0.2510489347      0.7531468343       111.6665191    
         9 -0.2510489347      0.2510489347      0.7531468343       113.5532551    
         9 -0.2510489347      0.2510489347      0.7531468343       113.8889955    
         9 -0.2510489347      0.2510489347      0.7531468343       116.9164183    
         9 -0.2510489347      0.2510489347      0.7531468343       117.5208279    
        10 -0.5020978845      0.5020978845       1.004195784       100.7363205    
